2010-08-07 18:47:06 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 101]
2010-08-07 18:47:06 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 104]
2010-08-07 18:47:06 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 107]
2010-08-07 18:47:06 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 110]
2010-08-07 18:47:06 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 113]
2010-08-07 18:47:06 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 116]
2010-08-07 18:47:06 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 119]
2010-08-07 18:47:06 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 122]
2010-08-07 18:48:04 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 91]
2010-08-07 18:48:04 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 94]
2010-08-07 18:48:04 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 97]
2010-08-07 18:48:04 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 100]
2010-08-07 18:48:04 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 103]
2010-08-07 18:48:04 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 106]
2010-08-07 18:48:04 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 109]
2010-08-07 18:48:04 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 112]
2010-08-07 18:48:04 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 115]
2010-08-07 18:59:25 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 89]
2010-08-07 19:23:08 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 100]
2010-08-07 19:23:11 Debug: Notice (8): Undefined index: cod_item in [APP\controllers\shopps_controller.php, line 41]
2010-08-07 19:23:11 Debug: Notice (8): Undefined index: titulo_item in [APP\controllers\shopps_controller.php, line 41]
2010-08-07 19:33:20 Debug: Notice (8): A non well formed numeric value encountered in [APP\controllers\shopps_controller.php, line 49]
2010-08-07 19:33:20 Debug: Notice (8): A non well formed numeric value encountered in [APP\controllers\shopps_controller.php, line 49]
2010-08-07 19:33:42 Debug: Notice (8): A non well formed numeric value encountered in [APP\controllers\shopps_controller.php, line 50]
2010-08-07 19:33:43 Debug: Notice (8): A non well formed numeric value encountered in [APP\controllers\shopps_controller.php, line 50]
2010-08-07 19:55:04 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 105]
2010-08-07 20:07:41 Debug: Notice (8): Undefined variable: subtotal_descontado in [APP\controllers\shopps_controller.php, line 54]
2010-08-07 20:50:57 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 122]
2010-08-07 20:57:12 Debug: Notice (8): Undefined offset: 4 in [APP\controllers\shopps_controller.php, line 114]
2010-08-07 21:26:53 Debug: Notice (8): Undefined variable: key in [APP\views\shopps\carrinho.ctp, line 98]
2010-08-08 06:43:59 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 129]
2010-08-08 07:43:13 Debug: Notice (8): Undefined variable: carrinho in [APP\controllers\ajax_controller.php, line 82]
2010-08-08 07:44:03 Debug: Notice (8): Undefined variable: carrinho in [APP\controllers\ajax_controller.php, line 82]
2010-08-08 07:47:33 Debug: Notice (8): Undefined variable: jquery in [APP\views\layouts\default.ctp, line 109]
2010-08-08 07:47:33 Debug: Notice (8): Trying to get property of non-object in [APP\views\layouts\default.ctp, line 109]
2010-08-08 07:48:31 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 131]
2010-08-08 07:48:35 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 131]
2010-08-08 07:57:51 Debug: Notice (8): Undefined variable: carrinhoSession in [APP\controllers\shopps_controller.php, line 162]
2010-08-08 07:59:10 Debug: Notice (8): Undefined variable: carrinhoSession in [APP\controllers\shopps_controller.php, line 164]
2010-08-08 08:37:39 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 132]
2010-08-08 08:37:45 Debug: Notice (8): Undefined index: desconto in [APP\views\shopps\carrinho.ctp, line 137]
